,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
143,1088,"Atkins, Chucky",Chucky Atkins,0,1999,2009,chucky_atkins,0,,,,,Y,0
144,76070,"Attles, Alvin",Alvin Attles,0,1960,1970,HISTADD_alvin_attles,0,,,,,Y,0
145,76071,"Aubuchon, Chet",Chet Aubuchon,0,1946,1946,HISTADD_chet_aubuchon,0,,,,,Y,0
146,278,"Augmon, Stacey",Stacey Augmon,0,1991,2005,stacey_augmon,0,,,,,Y,0
147,201571,"Augustin, D.J.",D.J. Augustin,0,2008,2019,d.j._augustin,0,,,,,Y,0
148,200788,"Augustine, James",James Augustine,0,2006,2007,james_augustine,0,,,,,Y,1
149,1134,"Austin, Ike",Ike Austin,0,1991,2001,ike_austin,0,,,,,Y,0
150,76073,"Austin, John",John Austin,0,1966,1966,HISTADD_johnny_austin,0,,,,,Y,0
151,76074,"Austin, Ken",Ken Austin,0,1983,1983,HISTADD_ken_austin,0,,,,,Y,0
152,138,"Avent, Anthony",Anthony Avent,0,1992,1999,anthony_avent,0,,,,,Y,0
153,76076,"Averitt, William",William Averitt,0,1976,1977,HISTADD_bird_averitt,0,,,,,Y,0
154,1895,"Avery, William",William Avery,0,1999,2002,william_avery,0,,,,,Y,0
155,76078,"Awtrey, Dennis",Dennis Awtrey,0,1970,1981,HISTADD_dennis_awtrey,0,,,,,Y,0
156,202970,"Ayon, Gustavo",Gustavo Ayon,0,2011,2013,gustavo_ayon,0,,,,,Y,0
157,201965,"Ayres, Jeff",Jeff Ayres,0,2009,2015,jeff_ayres,0,,,,,Y,1
158,1629028,"Ayton, Deandre",Deandre Ayton,0,2018,2019,deandre_ayton,0,,,,,Y,0
159,101235,"Azubuike, Kelenna",Kelenna Azubuike,0,2006,2011,kelenna_azubuike,0,,,,,Y,0
160,203569,"Babb, Chris",Chris Babb,0,2013,2014,chris_babb,0,,,,,Y,1
161,202337,"Babbitt, Luke",Luke Babbitt,0,2010,2017,luke_babbitt,0,,,,,Y,1
162,76079,"Babic, Milos",Milos Babic,1,1990,1991,HISTADD_milos_babic,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y,0
163,76080,"Bach, Johnny",Johnny Bach,0,1948,1948,HISTADD_johnny_bach,0,,,,,Y,0
